# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg]
3.90657675088327E+015, 1.38067627050926E+036, 1.52E+039, 0.0032183612
3.87082848317634E+015, 1.36459530494073E+036, 1.51E+039, 0.0032077467
3.8351984345078E+015, 1.34858724532824E+036, 1.5E+039, 0.0031971101
3.79968685198789E+015, 1.33265216961338E+036, 1.49E+039, 0.0031864512
3.76429398541427E+015, 1.31679015660005E+036, 1.48E+039, 0.0031757697
3.72902008737699E+015, 1.30100128598678E+036, 1.47E+039, 0.0031650653
3.69386541328329E+015, 1.2852856383764E+036, 1.46E+039, 0.0031543379
3.6588302214517E+015, 1.26964329530419E+036, 1.45E+039, 0.0031435871
3.6239147730985E+015, 1.2540743392363E+036, 1.44E+039, 0.0031328128
3.58911933245948E+015, 1.2385788536066E+036, 1.43E+039, 0.0031220145
3.55444416677904E+015, 1.22315692281585E+036, 1.42E+039, 0.0031111921
3.51988954643964E+015, 1.20780863227068E+036, 1.41E+039, 0.0031003452
3.48545574494001E+015, 1.19253406838005E+036, 1.4E+039, 0.0030894736
3.45114303902373E+015, 1.17733331859351E+036, 1.39E+039, 0.003078577
3.41695170871874E+015, 1.16220647141597E+036, 1.38E+039, 0.0030676551
3.38288203735629E+015, 1.1471536164146E+036, 1.37E+039, 0.0030567076
3.34893431170441E+015, 1.13217484426014E+036, 1.36E+039, 0.0030457341
3.31510882199986E+015, 1.11727024673842E+036, 1.35E+039, 0.0030347344
3.28140586199337E+015, 1.10243991676614E+036, 1.34E+039, 0.0030237081
3.24782572908584E+015, 1.08768394843211E+036, 1.33E+039, 0.0030126549
3.21436872431161E+015, 1.0730024369957E+036, 1.32E+039, 0.0030015745
3.1810351524894E+015, 1.05839547893314E+036, 1.31E+039, 0.0029904665
3.14782532226086E+015, 1.04386317195066E+036, 1.3E+039, 0.0029793306
3.11473954616913E+015, 1.02940561501121E+036, 1.29E+039, 0.0029681665
3.0817781407425E+015, 1.01502290836047E+036, 1.28E+039, 0.0029569737
3.04894142659934E+015, 1.0007151535611E+036, 1.27E+039, 0.0029457519
3.01622972847418E+015, 9.86482453502999E+035, 1.26E+039, 0.0029345007
2.98364337536869E+015, 9.72324912449782E+035, 1.25E+039, 0.0029232198
2.95118270061401E+015, 9.58242636061035E+035, 1.24E+039, 0.0029119087
2.91884804195763E+015, 9.44235731420039E+035, 1.23E+039, 0.0029005671
2.88663974166035E+015, 9.30304307065817E+035, 1.22E+039, 0.0028891945
2.85455814659053E+015, 9.16448473023887E+035, 1.21E+039, 0.0028777905
2.82260360835696E+015, 9.02668340848087E+035, 1.2E+039, 0.0028663547
2.79077648335765E+015, 8.88964023639159E+035, 1.19E+039, 0.0028548866
2.75907713294634E+015, 8.75335636096653E+035, 1.18E+039, 0.0028433858
2.72750592348653E+015, 8.61783294538642E+035, 1.17E+039, 0.0028318519
2.69606322649547E+015, 8.483071169477E+035, 1.16E+039, 0.0028202843
2.66474941877789E+015, 8.34907223013521E+035, 1.15E+039, 0.0028086827
2.63356488248394E+015, 8.21583734155509E+035, 1.14E+039, 0.0027970464
2.60251000531395E+015, 8.08336773585264E+035, 1.13E+039, 0.0027853751
2.57158518059285E+015, 7.95166466333659E+035, 1.12E+039, 0.0027736681
2.54079080741392E+015, 7.82072939297942E+035, 1.11E+039, 0.002761925
2.51012729079542E+015, 7.69056321291246E+035, 1.1E+039, 0.0027501452
2.47959504179134E+015, 7.56116743080718E+035, 1.09E+039, 0.0027383282
2.44919447765835E+015, 7.43254337441516E+035, 1.08E+039, 0.0027264734
2.4189260219907E+015, 7.30469239201183E+035, 1.07E+039, 0.0027145803
